ANO;GEO_COD;NIVEL;NIVEL_DSG;RESIDENT
2011;13120100101;8;Subsecção;60
2011;13120100102;8;Subsecção;244
2011;13120100103;8;Subsecção;351
2011;13120100104;8;Subsecção;47
2011;13120100105;8;Subsecção;343
2011;13120100201;8;Subsecção;20
2011;13120100202;8;Subsecção;95
2011;13120100203;8;Subsecção;73
2011;13120100204;8;Subsecção;101
2011;13120100205;8;Subsecção;28
2011;13120100206;8;Subsecção;302
2011;13120100301;8;Subsecção;125
2011;13120100302;8;Subsecção;71
2011;13120100303;8;Subsecção;69
2011;13120100304;8;Subsecção;48
2011;13120100305;8;Subsecção;53
2011;13120100306;8;Subsecção;60
2011;13120100307;8;Subsecção;36
2011;13120100401;8;Subsecção;158
2011;13120100402;8;Subsecção;111
2011;13120100403;8;Subsecção;267
2011;13120100404;8;Subsecção;108
2011;13120100501;8;Subsecção;225
2011;13120100502;8;Subsecção;0
2011;13120100503;8;Subsecção;224
2011;13120100504;8;Subsecção;79
2011;13120100505;8;Subsecção;49
2011;13120100506;8;Subsecção;179
2011;13120100601;8;Subsecção;233
2011;13120100602;8;Subsecção;162
2011;13120100603;8;Subsecção;171
2011;13120100604;8;Subsecção;97
2011;13120100701;8;Subsecção;222
2011;13120100702;8;Subsecção;137
2011;13120100703;8;Subsecção;237
2011;13120100704;8;Subsecção;10
2011;13120100705;8;Subsecção;35
2011;13120100801;8;Subsecção;132
2011;13120100802;8;Subsecção;157
2011;13120100803;8;Subsecção;99
2011;13120100804;8;Subsecção;65
2011;13120100805;8;Subsecção;155
2011;13120100901;8;Subsecção;44
2011;13120100902;8;Subsecção;372
2011;13120100903;8;Subsecção;124
2011;13120100904;8;Subsecção;0
2011;13120101001;8;Subsecção;210
2011;13120101002;8;Subsecção;87
2011;13120101003;8;Subsecção;259
2011;13120101004;8;Subsecção;97
2011;13120101005;8;Subsecção;71
2011;13120101006;8;Subsecção;0
2011;13120101007;8;Subsecção;80
2011;13120101101;8;Subsecção;243
2011;13120101102;8;Subsecção;69
2011;13120101103;8;Subsecção;355
2011;13120101201;8;Subsecção;134
2011;13120101202;8;Subsecção;199
2011;13120101203;8;Subsecção;93
2011;13120101204;8;Subsecção;96
2011;13120101205;8;Subsecção;58
2011;13120101206;8;Subsecção;60
2011;13120101301;8;Subsecção;83
2011;13120101302;8;Subsecção;288
2011;13120101303;8;Subsecção;100
2011;13120101304;8;Subsecção;97
2011;13120101305;8;Subsecção;53
2011;13120101306;8;Subsecção;38
2011;13120101307;8;Subsecção;55
2011;13120101401;8;Subsecção;152
2011;13120101402;8;Subsecção;261
2011;13120101403;8;Subsecção;95
2011;13120101404;8;Subsecção;117
2011;13120101501;8;Subsecção;431
2011;13120101502;8;Subsecção;211
2011;13120101503;8;Subsecção;0
2011;13120101504;8;Subsecção;127
2011;13120101505;8;Subsecção;65
2011;13120101506;8;Subsecção;77
2011;13120101601;8;Subsecção;90
2011;13120101602;8;Subsecção;49
2011;13120101603;8;Subsecção;49
2011;13120101604;8;Subsecção;123
2011;13120101605;8;Subsecção;26
2011;13120101606;8;Subsecção;77
2011;13120101607;8;Subsecção;224
2011;13120101608;8;Subsecção;95
2011;13120101701;8;Subsecção;48
2011;13120101702;8;Subsecção;165
2011;13120101703;8;Subsecção;28
2011;13120101704;8;Subsecção;74
2011;13120101705;8;Subsecção;116
2011;13120101706;8;Subsecção;20
2011;13120101707;8;Subsecção;132
2011;13120101801;8;Subsecção;375
2011;13120101802;8;Subsecção;136
2011;13120101901;8;Subsecção;303
2011;13120101902;8;Subsecção;237
2011;13120101903;8;Subsecção;91
2011;13120101904;8;Subsecção;46
2011;13120200101;8;Subsecção;415
2011;13120200102;8;Subsecção;40
2011;13120200103;8;Subsecção;35
2011;13120200104;8;Subsecção;73
2011;13120200105;8;Subsecção;41
2011;13120200106;8;Subsecção;43
2011;13120200107;8;Subsecção;19
2011;13120200201;8;Subsecção;25
2011;13120200202;8;Subsecção;58
2011;13120200203;8;Subsecção;0
2011;13120200204;8;Subsecção;40
2011;13120200205;8;Subsecção;25
2011;13120200206;8;Subsecção;102
2011;13120200207;8;Subsecção;0
2011;13120200208;8;Subsecção;54
2011;13120200209;8;Subsecção;21
2011;13120200210;8;Subsecção;214
2011;13120200301;8;Subsecção;137
2011;13120200302;8;Subsecção;199
2011;13120200401;8;Subsecção;492
2011;13120200501;8;Subsecção;142
2011;13120200502;8;Subsecção;97
2011;13120200503;8;Subsecção;147
2011;13120200504;8;Subsecção;138
2011;13120200601;8;Subsecção;74
2011;13120200602;8;Subsecção;73
2011;13120200603;8;Subsecção;65
2011;13120200604;8;Subsecção;58
2011;13120200605;8;Subsecção;34
2011;13120200606;8;Subsecção;133
2011;13120200607;8;Subsecção;177
2011;13120200608;8;Subsecção;13
2011;13120200609;8;Subsecção;79
2011;13120200701;8;Subsecção;275
2011;13120200702;8;Subsecção;345
2011;13120200703;8;Subsecção;100
2011;13120200801;8;Subsecção;145
2011;13120200802;8;Subsecção;223
2011;13120200803;8;Subsecção;14
2011;13120200901;8;Subsecção;505
2011;13120200902;8;Subsecção;339
2011;13120201001;8;Subsecção;296
2011;13120201002;8;Subsecção;58
2011;13120201003;8;Subsecção;218
2011;13120201101;8;Subsecção;437
2011;13120201201;8;Subsecção;261
2011;13120201202;8;Subsecção;330
2011;13120201301;8;Subsecção;505
2011;13120201401;8;Subsecção;116
2011;13120201402;8;Subsecção;171
2011;13120201403;8;Subsecção;77
2011;13120201501;8;Subsecção;151
2011;13120201502;8;Subsecção;186
2011;13120201503;8;Subsecção;41
2011;13120201601;8;Subsecção;0
2011;13120201602;8;Subsecção;334
2011;13120201603;8;Subsecção;164
2011;13120201701;8;Subsecção;216
2011;13120201702;8;Subsecção;41
2011;13120201703;8;Subsecção;209
2011;13120201801;8;Subsecção;142
2011;13120201802;8;Subsecção;306
2011;13120201901;8;Subsecção;147
2011;13120201902;8;Subsecção;195
2011;13120201903;8;Subsecção;40
2011;13120202001;8;Subsecção;524
2011;13120202101;8;Subsecção;341
2011;13120202102;8;Subsecção;48
2011;13120202201;8;Subsecção;79
2011;13120202202;8;Subsecção;178
2011;13120202203;8;Subsecção;192
2011;13120202301;8;Subsecção;427
2011;13120202302;8;Subsecção;42
2011;13120202303;8;Subsecção;59
2011;13120202401;8;Subsecção;415
2011;13120202501;8;Subsecção;162
2011;13120202502;8;Subsecção;403
2011;13120202601;8;Subsecção;223
2011;13120202602;8;Subsecção;78
2011;13120202603;8;Subsecção;45
2011;13120202604;8;Subsecção;34
2011;13120202605;8;Subsecção;79
2011;13120202701;8;Subsecção;315
2011;13120202702;8;Subsecção;18
2011;13120202703;8;Subsecção;273
2011;13120202801;8;Subsecção;167
2011;13120202802;8;Subsecção;182
2011;13120202901;8;Subsecção;82
2011;13120202902;8;Subsecção;196
2011;13120202903;8;Subsecção;34
2011;13120202904;8;Subsecção;177
2011;13120202905;8;Subsecção;93
2011;13120203001;8;Subsecção;233
2011;13120203002;8;Subsecção;261
2011;13120203101;8;Subsecção;121
2011;13120203102;8;Subsecção;428
2011;13120203103;8;Subsecção;25
2011;13120203201;8;Subsecção;6
2011;13120203202;8;Subsecção;492
2011;13120203301;8;Subsecção;154
2011;13120203302;8;Subsecção;423
2011;13120203303;8;Subsecção;2
2011;13120203401;8;Subsecção;94
2011;13120203402;8;Subsecção;222
2011;13120203403;8;Subsecção;99
2011;13120203501;8;Subsecção;308
2011;13120203502;8;Subsecção;86
2011;13120203601;8;Subsecção;253
2011;13120203602;8;Subsecção;337
2011;13120203701;8;Subsecção;188
2011;13120203702;8;Subsecção;102
2011;13120203703;8;Subsecção;118
2011;13120203801;8;Subsecção;366
2011;13120203802;8;Subsecção;81
2011;13120203901;8;Subsecção;61
2011;13120203902;8;Subsecção;131
2011;13120203903;8;Subsecção;194
2011;13120204001;8;Subsecção;336
2011;13120204002;8;Subsecção;197
2011;13120204003;8;Subsecção;75
2011;13120204101;8;Subsecção;19
2011;13120204102;8;Subsecção;53
2011;13120204103;8;Subsecção;61
2011;13120204104;8;Subsecção;165
2011;13120204105;8;Subsecção;125
2011;13120204201;8;Subsecção;108
2011;13120204202;8;Subsecção;27
2011;13120204203;8;Subsecção;127
2011;13120204204;8;Subsecção;129
2011;13120204205;8;Subsecção;102
2011;13120204206;8;Subsecção;117
2011;13120204301;8;Subsecção;215
2011;13120204302;8;Subsecção;91
2011;13120204303;8;Subsecção;77
2011;13120204304;8;Subsecção;0
2011;13120204401;8;Subsecção;129
2011;13120204402;8;Subsecção;94
2011;13120204403;8;Subsecção;103
2011;13120204404;8;Subsecção;135
2011;13120204501;8;Subsecção;65
2011;13120204502;8;Subsecção;96
2011;13120204503;8;Subsecção;0
2011;13120204504;8;Subsecção;22
2011;13120204601;8;Subsecção;342
2011;13120204602;8;Subsecção;147
2011;13120204701;8;Subsecção;126
2011;13120204702;8;Subsecção;184
2011;13120204703;8;Subsecção;56
2011;13120204801;8;Subsecção;655
2011;13120204901;8;Subsecção;0
2011;13120204902;8;Subsecção;458
2011;13120204903;8;Subsecção;128
2011;13120300101;8;Subsecção;96
2011;13120300102;8;Subsecção;90
2011;13120300103;8;Subsecção;85
2011;13120300104;8;Subsecção;33
2011;13120300105;8;Subsecção;36
2011;13120300106;8;Subsecção;45
2011;13120300201;8;Subsecção;181
2011;13120300202;8;Subsecção;304
2011;13120300203;8;Subsecção;32
2011;13120300204;8;Subsecção;70
2011;13120300205;8;Subsecção;5
2011;13120300301;8;Subsecção;27
2011;13120300302;8;Subsecção;0
2011;13120300303;8;Subsecção;51
2011;13120300304;8;Subsecção;0
2011;13120300305;8;Subsecção;0
2011;13120300306;8;Subsecção;0
2011;13120300307;8;Subsecção;0
2011;13120300308;8;Subsecção;27
2011;13120300309;8;Subsecção;40
2011;13120300310;8;Subsecção;4
2011;13120300401;8;Subsecção;99
2011;13120300402;8;Subsecção;7
2011;13120300403;8;Subsecção;47
2011;13120300404;8;Subsecção;29
2011;13120300405;8;Subsecção;73
2011;13120300406;8;Subsecção;62
2011;13120300407;8;Subsecção;20
2011;13120300408;8;Subsecção;18
2011;13120300409;8;Subsecção;19
2011;13120300410;8;Subsecção;76
2011;13120300411;8;Subsecção;32
2011;13120300412;8;Subsecção;42
2011;13120300501;8;Subsecção;57
2011;13120300502;8;Subsecção;217
2011;13120300503;8;Subsecção;223
2011;13120300601;8;Subsecção;599
2011;13120300602;8;Subsecção;53
2011;13120300701;8;Subsecção;73
2011;13120300702;8;Subsecção;11
2011;13120300703;8;Subsecção;0
2011;13120300704;8;Subsecção;48
2011;13120300705;8;Subsecção;257
2011;13120300706;8;Subsecção;66
2011;13120300707;8;Subsecção;65
2011;13120300708;8;Subsecção;13
2011;13120300709;8;Subsecção;26
2011;13120300710;8;Subsecção;219
2011;13120300801;8;Subsecção;0
2011;13120300802;8;Subsecção;44
2011;13120300803;8;Subsecção;83
2011;13120300804;8;Subsecção;15
2011;13120300805;8;Subsecção;25
2011;13120300806;8;Subsecção;21
2011;13120300807;8;Subsecção;7
2011;13120300808;8;Subsecção;315
2011;13120300809;8;Subsecção;37
2011;13120300901;8;Subsecção;174
2011;13120300902;8;Subsecção;361
2011;13120300903;8;Subsecção;361
2011;13120300904;8;Subsecção;114
2011;13120301001;8;Subsecção;17
2011;13120301002;8;Subsecção;60
2011;13120301003;8;Subsecção;66
2011;13120301004;8;Subsecção;191
2011;13120301005;8;Subsecção;106
2011;13120301006;8;Subsecção;22
2011;13120301101;8;Subsecção;31
2011;13120301102;8;Subsecção;53
2011;13120301103;8;Subsecção;59
2011;13120301104;8;Subsecção;74
2011;13120301105;8;Subsecção;84
2011;13120301106;8;Subsecção;92
2011;13120301107;8;Subsecção;152
2011;13120301201;8;Subsecção;123
2011;13120301202;8;Subsecção;106
2011;13120301203;8;Subsecção;129
2011;13120301204;8;Subsecção;28
2011;13120301205;8;Subsecção;108
2011;13120301206;8;Subsecção;27
2011;13120301207;8;Subsecção;24
2011;13120301208;8;Subsecção;30
2011;13120301209;8;Subsecção;41
2011;13120301210;8;Subsecção;34
2011;13120301211;8;Subsecção;27
2011;13120301301;8;Subsecção;506
2011;13120301401;8;Subsecção;119
2011;13120301402;8;Subsecção;257
2011;13120301403;8;Subsecção;13
2011;13120301404;8;Subsecção;38
2011;13120301405;8;Subsecção;124
2011;13120301501;8;Subsecção;42
2011;13120301502;8;Subsecção;8
2011;13120301503;8;Subsecção;17
2011;13120301504;8;Subsecção;37
2011;13120301505;8;Subsecção;149
2011;13120301506;8;Subsecção;98
2011;13120301507;8;Subsecção;176
2011;13120301508;8;Subsecção;72
2011;13120301601;8;Subsecção;282
2011;13120301602;8;Subsecção;42
2011;13120301603;8;Subsecção;310
2011;13120301604;8;Subsecção;246
2011;13120301605;8;Subsecção;82
2011;13120301701;8;Subsecção;229
2011;13120301702;8;Subsecção;165
2011;13120301703;8;Subsecção;68
2011;13120301704;8;Subsecção;39
2011;13120301705;8;Subsecção;50
2011;13120301801;8;Subsecção;362
2011;13120301802;8;Subsecção;20
2011;13120301803;8;Subsecção;58
2011;13120301804;8;Subsecção;14
2011;13120301805;8;Subsecção;11
2011;13120301806;8;Subsecção;13
2011;13120301807;8;Subsecção;7
2011;13120301808;8;Subsecção;7
2011;13120301809;8;Subsecção;3
2011;13120301810;8;Subsecção;8
2011;13120301811;8;Subsecção;5
2011;13120301901;8;Subsecção;188
2011;13120301902;8;Subsecção;105
2011;13120301903;8;Subsecção;85
2011;13120301904;8;Subsecção;11
2011;13120301905;8;Subsecção;11
2011;13120301906;8;Subsecção;22
2011;13120301907;8;Subsecção;63
2011;13120302001;8;Subsecção;121
2011;13120302002;8;Subsecção;60
2011;13120302003;8;Subsecção;66
2011;13120302004;8;Subsecção;238
2011;13120302005;8;Subsecção;39
2011;13120302101;8;Subsecção;67
2011;13120302102;8;Subsecção;332
2011;13120302103;8;Subsecção;213
2011;13120302104;8;Subsecção;90
2011;13120302105;8;Subsecção;2
2011;13120302106;8;Subsecção;28
2011;13120302107;8;Subsecção;34
2011;13120302108;8;Subsecção;21
2011;13120302109;8;Subsecção;39
2011;13120302201;8;Subsecção;84
2011;13120302202;8;Subsecção;142
2011;13120302203;8;Subsecção;47
2011;13120302204;8;Subsecção;874
2011;13120302205;8;Subsecção;54
2011;13120302206;8;Subsecção;0
2011;13120302301;8;Subsecção;116
2011;13120302302;8;Subsecção;71
2011;13120302303;8;Subsecção;38
2011;13120302304;8;Subsecção;34
2011;13120302305;8;Subsecção;101
2011;13120302401;8;Subsecção;41
2011;13120302402;8;Subsecção;36
2011;13120302403;8;Subsecção;223
2011;13120302404;8;Subsecção;237
2011;13120302405;8;Subsecção;216
2011;13120302501;8;Subsecção;105
2011;13120302502;8;Subsecção;126
2011;13120302601;8;Subsecção;484
2011;13120302701;8;Subsecção;119
2011;13120302702;8;Subsecção;133
2011;13120302703;8;Subsecção;17
2011;13120302704;8;Subsecção;31
2011;13120302705;8;Subsecção;55
2011;13120302706;8;Subsecção;105
2011;13120302801;8;Subsecção;127
2011;13120302802;8;Subsecção;87
2011;13120302803;8;Subsecção;138
2011;13120302804;8;Subsecção;77
2011;13120302805;8;Subsecção;131
2011;13120302806;8;Subsecção;31
2011;13120302807;8;Subsecção;175
2011;13120302901;8;Subsecção;158
2011;13120302902;8;Subsecção;299
2011;13120302903;8;Subsecção;121
2011;13120303001;8;Subsecção;76
2011;13120303002;8;Subsecção;19
2011;13120303003;8;Subsecção;90
2011;13120303004;8;Subsecção;127
2011;13120303005;8;Subsecção;246
2011;13120303101;8;Subsecção;160
2011;13120303102;8;Subsecção;319
2011;13120303103;8;Subsecção;322
2011;13120303201;8;Subsecção;184
2011;13120303202;8;Subsecção;182
2011;13120303203;8;Subsecção;4
2011;13120303204;8;Subsecção;103
2011;13120303205;8;Subsecção;50
2011;13120303206;8;Subsecção;30
2011;13120303207;8;Subsecção;17
2011;13120303301;8;Subsecção;131
2011;13120303302;8;Subsecção;57
2011;13120303303;8;Subsecção;206
2011;13120303304;8;Subsecção;44
2011;13120303305;8;Subsecção;219
2011;13120303401;8;Subsecção;202
2011;13120303402;8;Subsecção;191
2011;13120303403;8;Subsecção;376
2011;13120303404;8;Subsecção;27
2011;13120303405;8;Subsecção;76
2011;13120303406;8;Subsecção;3
2011;13120303407;8;Subsecção;14
2011;13120303501;8;Subsecção;336
2011;13120303502;8;Subsecção;113
2011;13120303503;8;Subsecção;310
2011;13120303504;8;Subsecção;276
2011;13120303505;8;Subsecção;297
2011;13120303601;8;Subsecção;121
2011;13120303602;8;Subsecção;115
2011;13120303603;8;Subsecção;146
2011;13120303604;8;Subsecção;46
2011;13120303605;8;Subsecção;30
2011;13120303606;8;Subsecção;58
2011;13120303607;8;Subsecção;24
2011;13120303608;8;Subsecção;22
2011;13120303701;8;Subsecção;443
2011;13120303702;8;Subsecção;0
2011;13120303703;8;Subsecção;165
2011;13120303704;8;Subsecção;3
2011;13120303801;8;Subsecção;23
2011;13120303802;8;Subsecção;175
2011;13120303803;8;Subsecção;240
2011;13120303804;8;Subsecção;500
2011;13120303901;8;Subsecção;0
2011;13120303902;8;Subsecção;223
2011;13120303903;8;Subsecção;276
2011;13120303904;8;Subsecção;92
2011;13120303905;8;Subsecção;19
2011;13120303906;8;Subsecção;117
2011;13120304001;8;Subsecção;167
2011;13120304002;8;Subsecção;516
2011;13120304101;8;Subsecção;98
2011;13120304102;8;Subsecção;192
2011;13120304103;8;Subsecção;70
2011;13120304104;8;Subsecção;82
2011;13120304105;8;Subsecção;11
2011;13120304106;8;Subsecção;34
2011;13120304107;8;Subsecção;10
2011;13120304201;8;Subsecção;174
2011;13120304202;8;Subsecção;117
2011;13120304203;8;Subsecção;50
2011;13120304204;8;Subsecção;0
2011;13120304205;8;Subsecção;0
2011;13120304206;8;Subsecção;0
2011;13120304207;8;Subsecção;38
2011;13120304301;8;Subsecção;146
2011;13120304302;8;Subsecção;130
2011;13120304303;8;Subsecção;0
2011;13120304304;8;Subsecção;0
2011;13120304305;8;Subsecção;0
2011;13120304306;8;Subsecção;115
2011;13120304307;8;Subsecção;1
2011;13120304401;8;Subsecção;0
2011;13120304402;8;Subsecção;21
2011;13120304403;8;Subsecção;36
2011;13120304404;8;Subsecção;222
2011;13120304405;8;Subsecção;266
2011;13120304501;8;Subsecção;296
2011;13120304502;8;Subsecção;111
2011;13120304503;8;Subsecção;247
2011;13120304504;8;Subsecção;69
2011;13120304601;8;Subsecção;296
2011;13120304602;8;Subsecção;138
2011;13120304603;8;Subsecção;78
2011;13120304604;8;Subsecção;53
2011;13120304701;8;Subsecção;37
2011;13120304702;8;Subsecção;23
2011;13120304703;8;Subsecção;16
2011;13120304704;8;Subsecção;30
2011;13120304705;8;Subsecção;93
2011;13120304706;8;Subsecção;50
2011;13120304707;8;Subsecção;99
2011;13120304801;8;Subsecção;645
2011;13120304802;8;Subsecção;59
2011;13120304901;8;Subsecção;288
2011;13120304902;8;Subsecção;195
2011;13120305001;8;Subsecção;0
2011;13120305002;8;Subsecção;17
2011;13120305003;8;Subsecção;217
2011;13120305004;8;Subsecção;60
2011;13120305005;8;Subsecção;60
2011;13120305006;8;Subsecção;105
2011;13120305007;8;Subsecção;57
2011;13120305101;8;Subsecção;207
2011;13120305102;8;Subsecção;274
2011;13120305103;8;Subsecção;139
2011;13120305201;8;Subsecção;54
2011;13120305202;8;Subsecção;63
2011;13120305203;8;Subsecção;10
2011;13120305204;8;Subsecção;0
2011;13120305205;8;Subsecção;58
2011;13120305206;8;Subsecção;34
2011;13120305207;8;Subsecção;141
2011;13120305208;8;Subsecção;117
2011;13120305209;8;Subsecção;21
2011;13120305210;8;Subsecção;0
2011;13120305211;8;Subsecção;0
2011;13120305212;8;Subsecção;3
2011;13120305213;8;Subsecção;0
2011;13120305301;8;Subsecção;91
2011;13120305302;8;Subsecção;165
2011;13120305303;8;Subsecção;10
2011;13120305304;8;Subsecção;0
2011;13120305305;8;Subsecção;86
2011;13120305306;8;Subsecção;82
2011;13120305401;8;Subsecção;48
2011;13120305402;8;Subsecção;62
2011;13120305403;8;Subsecção;37
2011;13120305404;8;Subsecção;81
2011;13120305405;8;Subsecção;44
2011;13120305406;8;Subsecção;189
2011;13120400101;8;Subsecção;240
2011;13120400102;8;Subsecção;288
2011;13120400201;8;Subsecção;295
2011;13120400202;8;Subsecção;287
2011;13120400301;8;Subsecção;281
2011;13120400302;8;Subsecção;35
2011;13120400303;8;Subsecção;101
2011;13120400304;8;Subsecção;56
2011;13120400401;8;Subsecção;86
2011;13120400402;8;Subsecção;74
2011;13120400403;8;Subsecção;337
2011;13120400501;8;Subsecção;354
2011;13120400601;8;Subsecção;125
2011;13120400602;8;Subsecção;219
2011;13120400603;8;Subsecção;17
2011;13120400604;8;Subsecção;12
2011;13120400605;8;Subsecção;13
2011;13120400606;8;Subsecção;54
2011;13120400607;8;Subsecção;0
2011;13120400701;8;Subsecção;344
2011;13120400702;8;Subsecção;128
2011;13120400801;8;Subsecção;99
2011;13120400802;8;Subsecção;515
2011;13120400803;8;Subsecção;63
2011;13120400804;8;Subsecção;34
2011;13120400901;8;Subsecção;163
2011;13120400902;8;Subsecção;255
2011;13120400903;8;Subsecção;44
2011;13120401001;8;Subsecção;152
2011;13120401002;8;Subsecção;438
2011;13120401101;8;Subsecção;202
2011;13120401102;8;Subsecção;312
2011;13120401201;8;Subsecção;219
2011;13120401202;8;Subsecção;8
2011;13120401203;8;Subsecção;189
2011;13120401204;8;Subsecção;98
2011;13120401301;8;Subsecção;669
2011;13120401401;8;Subsecção;136
2011;13120401402;8;Subsecção;166
2011;13120401403;8;Subsecção;32
2011;13120401404;8;Subsecção;107
2011;13120401501;8;Subsecção;115
2011;13120401502;8;Subsecção;233
2011;13120401503;8;Subsecção;115
2011;13120401601;8;Subsecção;278
2011;13120401602;8;Subsecção;209
2011;13120401603;8;Subsecção;92
2011;13120401701;8;Subsecção;486
2011;13120401801;8;Subsecção;255
2011;13120401802;8;Subsecção;222
2011;13120401901;8;Subsecção;19
2011;13120401902;8;Subsecção;291
2011;13120402001;8;Subsecção;107
2011;13120402002;8;Subsecção;69
2011;13120402003;8;Subsecção;145
2011;13120402004;8;Subsecção;150
2011;13120402101;8;Subsecção;144
2011;13120402102;8;Subsecção;225
2011;13120402201;8;Subsecção;398
2011;13120402301;8;Subsecção;284
2011;13120402302;8;Subsecção;275
2011;13120402401;8;Subsecção;793
2011;13120402501;8;Subsecção;399
2011;13120402601;8;Subsecção;254
2011;13120402602;8;Subsecção;346
2011;13120402701;8;Subsecção;464
2011;13120402702;8;Subsecção;156
2011;13120402703;8;Subsecção;52
2011;13120402801;8;Subsecção;108
2011;13120402802;8;Subsecção;192
2011;13120402803;8;Subsecção;185
2011;13120402804;8;Subsecção;0
2011;13120402901;8;Subsecção;0
2011;13120402902;8;Subsecção;96
2011;13120402903;8;Subsecção;27
2011;13120402904;8;Subsecção;18
2011;13120402905;8;Subsecção;231
2011;13120403001;8;Subsecção;337
2011;13120403002;8;Subsecção;5
2011;13120403003;8;Subsecção;0
2011;13120403101;8;Subsecção;138
2011;13120403102;8;Subsecção;210
